SetID,Number,Variant,YearFrom,Category,Theme,ThemeGroup,Subtheme,SetName,Image,ImageFilename,USRetailPrice,UKRetailPrice,CARetailPrice,DERetailPrice,USDateAdded,USDateRemoved,Pieces,Minifigs,MinifigNumbers,PackagingType,Availability,USItemNumber,EUItemNumber,EAN,UPC,Width,Height,Depth,Weight,ModelDimension1,ModelDimension2,ModelDimension3,AgeMin,AgeMax,OwnCount,WantCount,InstructionsCount,AdditionalImageCount,Released,Rating,BrickLinkSoldPriceNew,BrickLinkSoldPriceUsed,Designers,LaunchDate,ExitDate,Own,Want,QtyOwned,QtyOwnedNew,QtyOwnedUsed,QtyWanted,WantedPriority,,Flag2,Flag3,Flag4,Flag5,Flag6,Flag7,Flag8,UserNotes
"51899","30731","1","2026","Normal","Animal Crossing","Licensed","Promotional","Tom Nook and Flying Present","X","30731-1","","","","","","","33","1","ani027,","Paper bag","{Not specified}","6587034","6587033","5702018058497","","17","18","3","","","","","6","","379","517","3","0","X","0","4.2900","","","01/03/2026 00:00:00","31/12/2026 00:00:00","X","","1","1","0","0","1","","","","","","","","",""
"52612","77059","1","2026","Normal","Animal Crossing","Licensed","Sculptures","Timmy & Tommy's Fun Day Out","X","77059-1","59.99","54.99","84.99","59.99","02/05/2026 00:00:00","04/05/2026 00:00:00","513","","","Box","Retail","6589536","6589535","5702018068298","673419424998","38.2","26.2","5.65","","20","24","14","10","","3","203","0","8","X","0","","","","01/08/2026 00:00:00","","","","0","0","0","0","0","","","","","","","","",""
"51647","21064","1","2026","Normal","Architecture","Model making","","Paris - City of Love","X","21064-1","79.99","69.99","99.99","79.99","19/11/2025 00:00:00","04/05/2026 00:00:00","958","","","Box","Retail","6588556","6588555","5702018063668","673419423038","26.2","38.2","9.4","","30","27","5","18","","739","1113","7","7","X","0","75.4400","","Isaac Snyder,","01/01/2026 00:00:00","31/12/2028 00:00:00","X","X","1","1","0","0","1","","","","","","","","",""
"51648","21065","1","2026","Normal","Architecture","Model making","Landmark Series","{?}","","","599.99","","","599.99","","","12060","","","Box","{Not specified}","","","","","","","","","","","","18","","11","332","0","0","","0","","","","01/07/2026 00:00:00","","","","0","0","0","0","0","","","","","","","","",""
"51649","21066","1","2026","Normal","Architecture","Model making","","{?}","","","","","","139.99","","","1465","","","Box","Retail","","","5702018063675","","","","","","","","","18","","5","262","0","0","","0","","","","01/06/2026 00:00:00","","","","0","0","0","0","0","","","","","","","","",""
"51650","21067","1","2026","Normal","Architecture","Model making","","{?}","","","","","","299.99","","","3745","","","Box","Retail","","","5702018063705","","","","","","","","","18","","7","255","0","0","","0","","","","01/08/2026 00:00:00","","","","0","0","0","0","0","","","","","","","","",""
"51651","31218","1","2026","Normal","Art","Art and crafts","Paintings","Japanese Cherry Blossom Landscape","X","31218-1","139.99","99.99","179.99","119.99","19/11/2025 00:00:00","04/05/2026 00:00:00","1892","","","Box","Retail","6588562","6588561","5702018061862","673419422031","48","37.8","12.6","","35","39","6","18","","859","1877","7","11","X","5","124.1900","90.0000","","01/01/2026 00:00:00","31/12/2028 00:00:00","X","","1","1","0","0","1","","","","","","","","",""
"51652","31220","1","2026","Normal","Art","Art and crafts","Paintings","Claude Monet - Bridge over a Pond of Water Lilies","X","31220-1","249.99","179.99","349.99","199.99","10/02/2026 00:00:00","04/05/2026 00:00:00","3179","","","Box","Retail","6589597","6589596","5702018066379","673419423885","37.8","55.5","11.8","","51","41","4","18","","322","986","7","16","X","4","177.8800","","","01/03/2026 00:00:00","31/12/2028 00:00:00","X","","1","1","0","0","1","","","","","","","","",""
"51973","11216","1","2026","Normal","Bluey","Licensed","","Grannies with Bingo and Bluey","X","11216-1","14.99","12.99","19.99","14.99","03/05/2026 00:00:00","04/05/2026 00:00:00","80","","","Box","{Not specified}","6590586","6590585","5702018069486","673419425254","","","","","","","","","","3","126","0","11","X","0","","","","","","","","0","0","0","0","0","","","","","","","","",""
"51974","11217","1","2026","Normal","Bluey","Licensed","","Brick-Built Bluey Family","X","11217-1","69.99","59.99","99.99","69.99","03/05/2026 00:00:00","04/05/2026 00:00:00","466","","","Box","{Not specified}","6590588","6590587","5702018069493","673419425261","","","","","","","","","","3","123","0","15","X","0","","","","","","","","0","0","0","0","0","","","","","","","","",""
"51975","11221","1","2026","Normal","Bluey","Licensed","","School with Rusty and Bluey","X","11221-1","24.99","19.99","34.99","24.99","03/05/2026 00:00:00","04/05/2026 00:00:00","106","","","Box","{Not specified}","6590590","6590589","5702018069509","673419425278","","","","","","","","","","3","110","0","13","X","0","","","","","","","","0","0","0","0","0","","","","","","","","",""
"52613","30713","1","2026","Normal","Bluey","Licensed","","Fancy Restaurant with Bingo","","","","","","3.99","","","23","","","Paper bag","Retail - limited","","","5702018058053","","","","","","","","","4","","3","66","0","0","","0","","","","01/06/2026 00:00:00","","","","0","0","0","0","0","","","","","","","","",""
"52731","5010353","1","2026","Book","Books","Miscellaneous","Ameet","Desk Pets – Corgi","X","5010353-1","12.99","8.99","16.99","9.99","22/04/2026 00:00:00","30/04/2026 00:00:00","55","","","Box","Retail - limited","6651342","6651342","9788325348731","","17","16","3.4","0.159","","","","6","","3","29","0","4","X","0","","","","","","","","0","0","0","0","0","","","","","","","","",""
"52730","5010354","1","2026","Book","Books","Miscellaneous","Ameet","Desk Pets – Pig","X","5010354-1","12.99","8.99","16.99","9.99","22/04/2026 00:00:00","04/05/2026 00:00:00","43","","","Box","Retail - limited","6651343","6651343","9788325348748","","17","16","3.4","0.159","","","","6","","3","21","0","4","X","0","","","","","","","","0","0","0","0","0","","","","","","","","",""
"52413","BLOCKS136","1","2026","Book","Books","Miscellaneous","Magazines/Blocks","Blocks magazine issue 136","X","BLOCKS136-1","","","","","","","","","","{Not specified}","{Not specified}","","","","","","","","","","","","","","44","15","0","0","X","0","","","","","","X","","1","1","0","0","1","","","","","","","","",""
"52486","BLOCKS137","1","2026","Book","Books","Miscellaneous","Magazines/Blocks","Blocks magazine issue 137","X","BLOCKS137-1","","","","","","","","","","{Not specified}","{Not specified}","","","","","","","","","","","","","","43","13","0","0","X","0","","","","","","X","","1","1","0","0","1","","","","","","","","",""
"52611","BLOCKS138","1","2026","Book","Books","Miscellaneous","Magazines/Blocks","Blocks magazine issue 138","X","BLOCKS138-1","","","","","","","","","","{Not specified}","{Not specified}","","","","","","","","","","","","","","34","12","0","0","X","0","","","","","","X","","1","1","0","0","1","","","","","","","","",""
"52735","BLOCKS139","1","2026","Book","Books","Miscellaneous","Magazines/Blocks","Blocks magazine issue 139","X","BLOCKS139-1","","","","","","","","","","{Not specified}","{Not specified}","","","","","","","","","","","","","","13","10","0","0","X","0","","","","","","X","","1","1","0","0","1","","","","","","","","",""
"52707","BLOCKSSTARWARS","1","2026","Book","Books","Miscellaneous","Magazines/Blocks","LEGO Star Wars Special","X","BLOCKSSTARWARS-1","","","","","","","","","","{Not specified}","{Not specified}","","","","","","","","","","","","","","8","14","0","0","X","0","","","","","","X","","1","1","0","0","1","","","","","","","","",""
"52267","ISBN9780241788059","1","2026","Book","Books","Miscellaneous","Dorling Kindersley","LEGO Marvel: Secrets of the Avengers","X","ISBN9780241788059-1","19.99","14.99","","18.99","","","4","","","{Not specified}","Retail","","","","","19.8","26.1","","0.788","","","","6","","14","308","0","6","X","0","","","","04/06/2026 00:00:00","","X","","1","1","0","0","1","","","","","","","","",""
"52268","ISBN9780241789926","1","2026","Book","Books","Miscellaneous","Dorling Kindersley","LEGO Disney: Character Guide","X","ISBN9780241789926-1","21.99","16.99","","21.99","","","4","","","{Not specified}","Retail","","","","","18.6","23.9","","","","","","6","","12","249","0","8","X","0","","","","02/07/2026 00:00:00","","X","","1","1","0","0","1","","","","","","","","",""
"52368","ISBN9780241789940","1","2026","Book","Books","Miscellaneous","Dorling Kindersley","LEGO NINJAGO: Visual Dictionary, Updated Edition","X","ISBN9780241789940-1","","","","","","","","","","{Not specified}","Retail","","","","","","","","","","","","6","","7","141","0","0","X","0","","","","01/10/2026 00:00:00","","X","","1","1","0","0","1","","","","","","","","",""
"52610","ISBN9780241816516","1","2026","Book","Books","Miscellaneous","Dorling Kindersley","LEGO Star Wars: Luke Skywalker's Galactic Adventures","X","ISBN9780241816516-1","16.99","12.99","","","","","4","","","{Not specified}","Retail - limited","","","","","18.6","23.9","","","","","","6","","6","51","0","0","","0","","","","10/08/2026 00:00:00","","X","","1","1","0","0","1","","","","","","","","",""
"52733","ISBN9780794454241","1","2026","Book","Books","Miscellaneous","Ameet","Valentine's Day Build and Play","X","ISBN9780794454241-1","","","","","","","49","","","Box","Retail - limited","","","","","15.3","25","2.7","0.322","","","","6","","1","9","0","1","X","0","","","","","","","","0","0","0","0","0","","","","","","","","",""
"52732","ISBN9780794454395","1","2026","Book","Books","Miscellaneous","Ameet","Space Build and Play","X","ISBN9780794454395-1","","","","","","","57","","","Box","Retail - limited","","","","","15.3","25","2.7","","","","","6","","1","10","0","1","X","0","","","","","","","","0","0","0","0","0","","","","","","","","",""
